Symbol;Security;SEC filings;GICS Sector;ID Sector;GICS Sub-Industry;Headquarters Location;Date first added;CIK;Founded
MNST;Monster Beverage;reports;Consumer Staples;3;Soft Drinks;Corona, California;28/06/2012;865752;2012 (1935)
MO;Altria Group;reports;Consumer Staples;3;Tobacco;Richmond, Virginia;04/03/1957;764180;1985
PEP;PepsiCo;reports;Consumer Staples;3;Soft Drinks;Purchase, New York;04/03/1957;77476;1898
PG;Procter & Gamble;reports;Consumer Staples;3;Personal Products;Cincinnati, Ohio;04/03/1957;80424;1837
PM;Philip Morris International;reports;Consumer Staples;3;Tobacco;New York City, New York;31/03/2008;1413329;2008 (1847)
SJM;JM Smucker;reports;Consumer Staples;3;Packaged Foods & Meats;Orrville, Ohio;06/11/2008;91419;1897
STZ;Constellation Brands;reports;Consumer Staples;3;Distillers & Vintners;Victor, New York;01/07/2005;16918;1945
SYY;Sysco;reports;Consumer Staples;3;Food Distributors;Houston, Texas;31/12/1986;96021;1969
TAP;Molson Coors;reports;Consumer Staples;3;Brewers;Chicago, Illinois;30/06/1976;24545;2005 (Molson 1786, Coors 1873)
TSN;Tyson Foods;reports;Consumer Staples;3;Packaged Foods & Meats;Springdale, Arkansas;10/08/2005;100493;1935
WBA;Walgreens Boots Alliance;reports;Consumer Staples;3;Drug Retail;Deerfield, Illinois;31/12/1979;1618921;2014
WMT;Walmart;reports;Consumer Staples;3;Hypermarkets & Super Centers;Bentonville, Arkansas;31/08/1982;104169;1962
AAP;Advance Auto Parts;reports;Consumer Discretionary;2;Automotive Retail;Raleigh, North Carolina;09/07/2015;1158449;1932
AMZN;Amazon;reports;Consumer Discretionary;2;Internet & Direct Marketing Retail;Seattle, Washington;18/11/2005;1018724;1994
APTV;Aptiv;reports;Consumer Discretionary;2;Auto Parts & Equipment;Dublin, Ireland;24/12/2012;1521332;1994
AZO;AutoZone;reports;Consumer Discretionary;2;Specialty Stores;Memphis, Tennessee;02/01/1997;866787;1979
BBWI;Bath & Body Works;reports;Consumer Discretionary;2;Specialty Stores;Columbus, Ohio;30/09/1983;701985;1963
BBY;Best Buy;reports;Consumer Discretionary;2;Computer & Electronics Retail;Richfield, Minnesota;29/06/1999;764478;1966
BKNG;Booking Holdings;reports;Consumer Discretionary;2;Internet & Direct Marketing Retail;Norwalk, Connecticut;06/11/2009;1075531;1996
BWA;BorgWarner;reports;Consumer Discretionary;2;Auto Parts & Equipment;Auburn Hills, Michigan;19/12/2011;908255;1880
CCL;Carnival Corporation;reports;Consumer Discretionary;2;Hotels, Resorts & Cruise Lines;Miami, Florida;22/12/1998;815097;1972
CMG;Chipotle Mexican Grill;reports;Consumer Discretionary;2;Restaurants;Newport Beach, California;28/04/2011;1058090;1993
CZR;Caesars Entertainment;reports;Consumer Discretionary;2;Casinos & Gaming;Reno, Nevada;22/03/2021;1590895;1973
DG;Dollar General;reports;Consumer Discretionary;2;General Merchandise Stores;Goodlettsville, Tennessee;03/12/2012;29534;1939
DHI;D. R. Horton;reports;Consumer Discretionary;2;Homebuilding;Arlington, Texas;22/06/2005;882184;1978
DLTR;Dollar Tree;reports;Consumer Discretionary;2;General Merchandise Stores;Chesapeake, Virginia;19/12/2011;935703;1986
DPZ;Domino's Pizza;reports;Consumer Discretionary;2;Restaurants;Ann Arbor, Michigan;12/05/2020;1286681;1960
DRI;Darden Restaurants;reports;Consumer Discretionary;2;Restaurants;Orlando, Florida;;940944;1938
EBAY;eBay;reports;Consumer Discretionary;2;Internet & Direct Marketing Retail;San Jose, California;22/07/2002;1065088;1995
ETSY;Etsy;reports;Consumer Discretionary;2;Internet & Direct Marketing Retail;New York City, New York;21/09/2020;1370637;2005
EXPE;Expedia Group;reports;Consumer Discretionary;2;Internet & Direct Marketing Retail;Seattle, Washington;02/10/2007;1324424;1996
F;Ford;reports;Consumer Discretionary;2;Automobile Manufacturers;Dearborn, Michigan;04/03/1957;37996;1903
GM;General Motors;reports;Consumer Discretionary;2;Automobile Manufacturers;Detroit, Michigan;06/06/2013;1467858;1908
GPC;Genuine Parts;reports;Consumer Discretionary;2;Specialty Stores;Atlanta, Georgia;31/12/1973;40987;1925
GPS;Gap;reports;Consumer Discretionary;2;Apparel Retail;San Francisco, California;31/08/1986;39911;1969
GRMN;Garmin;reports;Consumer Discretionary;2;Consumer Electronics;Schaffhausen, Switzerland;12/12/2012;1121788;1989
HAS;Hasbro;reports;Consumer Discretionary;2;Leisure Products;Pawtucket, Rhode Island;30/09/1984;46080;1923
HBI;Hanesbrands;reports;Consumer Discretionary;2;Apparel, Accessories & Luxury Goods;Winston-Salem, North Carolina;20/03/2015;1359841;2000
HD;Home Depot;reports;Consumer Discretionary;2;Home Improvement Retail;Atlanta, Georgia;31/03/1988;354950;1978
HLT;Hilton Worldwide;reports;Consumer Discretionary;2;Hotels, Resorts & Cruise Lines;Tysons Corner, Virginia;19/06/2017;1585689;1919
KMX;CarMax;reports;Consumer Discretionary;2;Specialty Stores;Richmond, Virginia;28/06/2010;1170010;1993
LEG;Leggett & Platt;reports;Consumer Discretionary;2;Home Furnishings;Carthage, Missouri;14/10/1999;58492;1883
LEN;Lennar;reports;Consumer Discretionary;2;Homebuilding;Miami, Florida;04/10/2005;920760;1954
LKQ;LKQ Corporation;reports;Consumer Discretionary;2;Distributors;Chicago, Illinois;23/05/2016;1065696;1998
LOW;Lowe's;reports;Consumer Discretionary;2;Home Improvement Retail;Mooresville, North Carolina;29/02/1984;60667;1904/1946/1959
LVS;Las Vegas Sands;reports;Consumer Discretionary;2;Casinos & Gaming;Las Vegas, Nevada;03/10/2019;1300514;1988
MAR;Marriott International;reports;Consumer Discretionary;2;Hotels, Resorts & Cruise Lines;Bethesda, Maryland;;1048286;1927
MCD;McDonald's;reports;Consumer Discretionary;2;Restaurants;Chicago, Illinois;30/06/1970;63908;1940
MGM;MGM Resorts International;reports;Consumer Discretionary;2;Casinos & Gaming;Paradise, Nevada;26/07/2017;789570;1986
MHK;Mohawk Industries;reports;Consumer Discretionary;2;Home Furnishings;Calhoun, Georgia;23/12/2013;851968;1878
NCLH;Norwegian Cruise Line Holdings;reports;Consumer Discretionary;2;Hotels, Resorts & Cruise Lines;Miami, Florida;13/10/2017;1513761;2011 (1966)
NKE;Nike;reports;Consumer Discretionary;2;Apparel, Accessories & Luxury Goods;Washington County, Oregon;30/11/1988;320187;1964
NVR;NVR;reports;Consumer Discretionary;2;Homebuilding;Reston, Virginia;26/09/2019;906163;1980
NWL;Newell Brands;reports;Consumer Discretionary;2;Housewares & Specialties;Atlanta, Georgia;30/04/1989;814453;1903
ORLY;O'Reilly Automotive;reports;Consumer Discretionary;2;Specialty Stores;Springfield, Missouri;27/03/2009;898173;1957
PENN;Penn National Gaming;reports;Consumer Discretionary;2;Casinos & Gaming;Wyomissing, Pennsylvania;22/03/2021;921738;1972
PHM;PulteGroup;reports;Consumer Discretionary;2;Homebuilding;Atlanta, Georgia;30/04/1984;822416;1956
POOL;Pool Corporation;reports;Consumer Discretionary;2;Distributors;Covington, Louisiana;07/10/2020;945841;1993
PVH;PVH;reports;Consumer Discretionary;2;Apparel, Accessories & Luxury Goods;New York City, New York;15/02/2013;78239;1881
RCL;Royal Caribbean Group;reports;Consumer Discretionary;2;Hotels, Resorts & Cruise Lines;Miami, Florida;05/12/2014;884887;1997
RL;Ralph Lauren Corporation;reports;Consumer Discretionary;2;Apparel, Accessories & Luxury Goods;New York City, New York;02/02/2007;1037038;1967
ROST;Ross Stores;reports;Consumer Discretionary;2;Apparel Retail;Dublin, California;21/12/2009;745732;1982
SBUX;Starbucks;reports;Consumer Discretionary;2;Restaurants;Seattle, Washington;;829224;1971
TGT;Target;reports;Consumer Discretionary;2;General Merchandise Stores;Minneapolis, Minnesota;31/12/1976;27419;1902
TJX;TJX Companies;reports;Consumer Discretionary;2;Apparel Retail;Framingham, Massachusetts;30/09/1985;109198;1987
TPR;Tapestry;reports;Consumer Discretionary;2;Apparel, Accessories & Luxury Goods;New York City, New York;;1116132;2017
TSCO;Tractor Supply Company;reports;Consumer Discretionary;2;Specialty Stores;Brentwood, Tennessee;24/01/2014;916365;1938
TSLA;Tesla;reports;Consumer Discretionary;2;Automobile Manufacturers;Palo Alto, California;21/12/2020;1318605;2003
UA;Under Armour (Class C);reports;Consumer Discretionary;2;Apparel, Accessories & Luxury Goods;Baltimore, Maryland;08/04/2016;1336917;1996
UAA;Under Armour (Class A);reports;Consumer Discretionary;2;Apparel, Accessories & Luxury Goods;Baltimore, Maryland;01/05/2014;1336917;1996
ULTA;Ulta Beauty;reports;Consumer Discretionary;2;Specialty Stores;Bolingbrook, Illinois;18/04/2016;1403568;1990
VFC;VF Corporation;reports;Consumer Discretionary;2;Apparel, Accessories & Luxury Goods;Denver, Colorado;30/06/1979;103379;1899
WHR;Whirlpool Corporation;reports;Consumer Discretionary;2;Household Appliances;Benton Harbor, Michigan;;106640;1911
WYNN;Wynn Resorts;reports;Consumer Discretionary;2;Casinos & Gaming;Paradise, Nevada;14/11/2008;1174922;2002
YUM;Yum! Brands;reports;Consumer Discretionary;2;Restaurants;Louisville, Kentucky;06/10/1997;1041061;1997
ATVI;Activision Blizzard;reports;Communication Services;1;Interactive Home Entertainment;Santa Monica, California;31/08/2015;718877;2008
CHTR;Charter Communications;reports;Communication Services;1;Cable & Satellite;Stamford, Connecticut;08/09/2016;1091667;1993
CMCSA;Comcast;reports;Communication Services;1;Cable & Satellite;Philadelphia, Pennsylvania;19/11/2002;1166691;1963
DIS;The Walt Disney Company;reports;Communication Services;1;Movies & Entertainment;Burbank, California;30/06/1976;1744489;1923
DISCA;Discovery (Series A);reports;Communication Services;1;Broadcasting;New York City, New York;01/03/2010;1437107;1985
DISCK;Discovery (Series C);reports;Communication Services;1;Broadcasting;New York City, New York;07/08/2014;1437107;1985
DISH;Dish Network;reports;Communication Services;1;Cable & Satellite;Meridian, Colorado;13/03/2017;1001082;1980
EA;Electronic Arts;reports;Communication Services;1;Interactive Home Entertainment;Redwood City, California;22/07/2002;712515;1982
FB;Meta Platforms;reports;Communication Services;1;Interactive Media & Services;Menlo Park, California;23/12/2013;1326801;2004
FOX;Fox Corporation (Class B);reports;Communication Services;1;Movies & Entertainment;New York City, New York;18/09/2015;1754301;2019
FOXA;Fox Corporation (Class A);reports;Communication Services;1;Movies & Entertainment;New York City, New York;01/07/2013;1754301;2019
GOOG;Alphabet (Class C);reports;Communication Services;1;Interactive Media & Services;Mountain View, California;03/04/2006;1652044;1998
GOOGL;Alphabet (Class A);reports;Communication Services;1;Interactive Media & Services;Mountain View, California;03/04/2014;1652044;1998
IPG;Interpublic Group;reports;Communication Services;1;Advertising;New York City, New York;01/10/1992;51644;1961 (1930)
LUMN;Lumen Technologies;reports;Communication Services;1;Alternative Carriers;Monroe, Louisiana;25/03/1999;18926;1983 (1877)
LYV;Live Nation Entertainment;reports;Communication Services;1;Movies & Entertainment;Beverly Hills, California;23/12/2019;1335258;2010
MTCH;Match Group;reports;Communication Services;1;Interactive Media & Services;Dallas, Texas;20/09/2021;891103;1986
NFLX;Netflix;reports;Communication Services;1;Movies & Entertainment;Los Gatos, California;20/12/2010;1065280;1997
NWS;News Corp (Class B);reports;Communication Services;1;Publishing;New York City, New York;18/09/2015;1564708;2013 (1980)
NWSA;News Corp (Class A);reports;Communication Services;1;Publishing;New York City, New York;01/08/2013;1564708;2013 (1980)
OMC;Omnicom Group;reports;Communication Services;1;Advertising;New York City, New York;;29989;1986
T;AT&T;reports;Communication Services;1;Integrated Telecommunication Services;Dallas, Texas;1983-11-30 (1957-03-04);732717;1983 (1885)
TMUS;T-Mobile US;reports;Communication Services;1;Wireless Telecommunication Services;Bellevue, Washington;15/07/2019;1283699;1994
TTWO;Take-Two Interactive;reports;Communication Services;1;Interactive Home Entertainment;New York City, New York;19/03/2018;946581;1993
TWTR;Twitter;reports;Communication Services;1;Interactive Media & Services;San Francisco, California;07/06/2018;1418091;2006
VIAC;ViacomCBS;reports;Communication Services;1;Movies & Entertainment;New York City, New York;;813828;2019 (1952)
VZ;Verizon Communications;reports;Communication Services;1;Integrated Telecommunication Services;New York City, New York;30/11/1983;732712;1983 (1877)
